stage,config_id,batch_norm,batch_size,patience,meth_variance_threshold,learning_rate,weight_decay,num_nodes,dropout,mean_train_c_index,sd_train_c_index,mean_val_c_index,sd_val_c_index,mean_test_c_index,sd_test_c_index,mean_epochs_trained,overfit_gap
conservative_joint_tuning,32,False,32,10,0.0005,0.0001,0.03,[16],0.5,0.5516503430501822,0.09879756214295654,0.5145554193841062,0.162532484064259,0.5890207130235456,0.13182171329896333,11.8,0.03709492366607603
conservative_joint_tuning,20,False,32,10,0.0005,0.0001,0.01,[16],0.5,0.5517548325930317,0.09884426463663262,0.5140892189179057,0.16319260531320753,0.5890207130235456,0.13182171329896333,11.8,0.037665613675126
conservative_joint_tuning,8,False,32,10,0.0005,0.0001,0.001,[16],0.5,0.5516897878855008,0.0988236073786462,0.5140892189179057,0.16319260531320753,0.5890207130235456,0.13182171329896333,11.8,0.037600568967595116
conservative_joint_tuning,9,False,32,10,0.0005,0.0001,0.001,[16],0.6,0.5505105167355133,0.09865981203151655,0.5126292972880587,0.1633571423727005,0.5884797576017109,0.13381470536529433,11.8,0.037881219447454595
conservative_joint_tuning,21,False,32,10,0.0005,0.0001,0.01,[16],0.6,0.5503723022254365,0.09854637782345567,0.5126292972880587,0.1633571423727005,0.5880392289673496,0.13343864976728728,11.8,0.03774300493737781
conservative_joint_tuning,33,False,32,10,0.0005,0.0001,0.03,[16],0.6,0.550335645333941,0.09853787498844396,0.5126292972880587,0.1633571423727005,0.5889202862360721,0.13419693791983942,11.8,0.03770634804588224
conservative_joint_tuning,75,False,32,10,0.0005,0.001,0.001,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,86,False,32,10,0.0005,0.001,0.01,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,99,False,32,10,0.0005,0.001,0.03,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,74,False,32,10,0.0005,0.001,0.001,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,98,False,32,10,0.0005,0.001,0.03,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,73,False,32,10,0.0005,0.001,0.001,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,97,False,32,10,0.0005,0.001,0.03,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,87,False,32,10,0.0005,0.001,0.01,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,85,False,32,10,0.0005,0.001,0.01,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,1,False,32,10,0.0005,0.0001,0.001,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,63,False,32,10,0.0005,0.0003,0.03,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,38,False,32,10,0.0005,0.0003,0.001,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,62,False,32,10,0.0005,0.0003,0.03,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,39,False,32,10,0.0005,0.0003,0.001,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,27,False,32,10,0.0005,0.0001,0.03,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,26,False,32,10,0.0005,0.0001,0.03,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,25,False,32,10,0.0005,0.0001,0.03,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,49,False,32,10,0.0005,0.0003,0.01,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,50,False,32,10,0.0005,0.0003,0.01,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,51,False,32,10,0.0005,0.0003,0.01,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,2,False,32,10,0.0005,0.0001,0.001,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,15,False,32,10,0.0005,0.0001,0.01,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,14,False,32,10,0.0005,0.0001,0.01,[4],0.5,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,13,False,32,10,0.0005,0.0001,0.01,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,3,False,32,10,0.0005,0.0001,0.001,[4],0.6,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,61,False,32,10,0.0005,0.0003,0.03,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,37,False,32,10,0.0005,0.0003,0.001,[4],0.4,0.5116368740763053,0.11417757624826361,0.48209380042976535,0.1350844913391855,0.5268324854440791,0.15663531914004528,11.0,0.029543073646539963
conservative_joint_tuning,107,False,32,10,0.0005,0.001,0.03,"[8, 4]",0.5,0.5811397293319269,0.07520053544424078,0.4444300950875382,0.09626776133390336,0.5884809681882517,0.08580171417858379,11.4,0.1367096342443887
conservative_joint_tuning,95,False,32,10,0.0005,0.001,0.01,"[8, 4]",0.5,0.5808975857016689,0.07509633750017666,0.44442354426131525,0.09748651640969602,0.5885797099362627,0.0880676056956998,11.4,0.1364740414403537
conservative_joint_tuning,83,False,32,10,0.0005,0.001,0.001,"[8, 4]",0.5,0.5811062845760337,0.07520652425674788,0.4439551601863738,0.09730587898914288,0.5872474016363136,0.08854216722699404,11.4,0.13715112438965993
conservative_joint_tuning,108,False,32,10,0.0005,0.001,0.03,"[8, 4]",0.6,0.5781090151482667,0.07228911579684971,0.43042879584033733,0.08277115105353147,0.5801683236021207,0.09365042329190512,11.4,0.1476802193079294
conservative_joint_tuning,96,False,32,10,0.0005,0.001,0.01,"[8, 4]",0.6,0.5777234560876288,0.07206219278170754,0.4299669625916188,0.08212996568821956,0.5777428030920491,0.09400271194750526,11.4,0.14775649349600994
conservative_joint_tuning,71,False,32,10,0.0005,0.0003,0.03,"[8, 4]",0.5,0.5585501929792889,0.054226367076211555,0.4289865222669162,0.09014475986415946,0.5849812785194597,0.08657051451283036,11.4,0.12956367071237268
conservative_joint_tuning,59,False,32,10,0.0005,0.0003,0.01,"[8, 4]",0.5,0.5584816973997014,0.054250623414483445,0.4285203218007158,0.08950105211731642,0.5837286689161194,0.08662358859139019,11.4,0.12996137559898563
